Comment,Author,Date,Score
"Average liberal:""This just proves Democrats are smarter!""",squunkyumas,2025-04-16T13:46:16,24
Party of the nobility.,kaytin911,2025-04-16T13:50:04,11
"That's what you call a political machine.   Politicians get elected, give money to people, those people donate to their campaigns, so then they get elected and give out more money",hiricinee,2025-04-16T17:20:20,29
"A real shocker, that.",____IIIII___ll__I,2025-04-16T13:50:35,57
Can colleges and universities officially come out as partisan and openly discriminate against an opposing political party?,AndForeverNow,2025-04-16T14:04:33,7
"I’m sorry, if they got money to donate, what do they need the government grants for again?",Reuters-no-bias-lol,2025-04-17T05:46:28,6
The party of the little guy eh?,Hectoriu,2025-04-17T08:24:22,3
They’re going to lose this fight with the President. They’re on the wrong side of history championing Islamic terrorism and racial discrimination.,esqadinfinitum,2025-04-16T16:28:17,13
[removed],[deleted],2025-04-16T14:25:22,1
WATER CONTINUES TO BE WET  More at 11,SpecialistNote6535,2025-04-16T14:39:56,11
If they don't care about their tax-exempt status they can.,WoodEyeLie2U,2025-04-17T07:29:21,4
