Comment,Author,Date,Score
Was this a thing that was happening?,MacadamiaMinded,2025-04-18T07:08:21,47
As well he should.,Wide_Fig3130,2025-04-17T19:05:42,27
"Liberals: ""It never happens!""",squunkyumas,2025-04-17T19:46:40,24
Fascist! /j,whicky1978,2025-04-18T13:08:18,1
[deleted],[deleted],2025-04-17T21:28:14,-7
But How would it even happen? Don’t you need a social security number first?,MacadamiaMinded,2025-04-18T07:09:28,29
"But if it is happening, it’s a good thing!",space_face_mace,2025-04-17T21:19:57,7
It never happens but please how dare you stop it!!!,Xander_hades_,2025-04-18T06:34:55,2
"It's one of those things that ""dosent"" happen. It occurs but only when they are using stolen information from Americans. So it's just making something already illegal double illegal.",FunkyMonkss,2025-04-18T08:19:25,17
[deleted],[deleted],2025-04-18T12:57:52,3
