Comment,Author,Date,Score
Biden was against desegregatinon - he said it would turn the schools into jungles.,scrapqueen,2025-04-16T09:57:17,39
"Oh look, Joe Biden is *still* a racist.  I'm shocked.",H3nchman_24,2025-04-16T10:33:33,16
Not racist at all. No sir.,Flare4roach,2025-04-16T08:49:50,26
"It is hard to think of a more accurate representative of the democrat party than Joe Biden.  I'm sure in smoke filled back rooms all over the country democrat party leaders are thinking,  ***Biden '28***.",old---,2025-04-16T09:18:14,15
"I remember that. So does Pepperidge Farm. We also remember him finally reminiscing about the high ranking publication open klan member that mentioned him.  But nothing to see there, orange man bad .",Mysterious_Main_5391,2025-04-16T08:38:33,10
Corn Pop needs to fade into the night.,TheUglyWeb,2025-04-16T10:28:49,5
"I had an aunt that still referred to them that way, God rest her soul.",squunkyumas,2025-04-16T09:10:52,3
I don’t know what the Democrats were thinking taking Nosferatu Biden out of his coffin to a public event to give a speech.,KinGpiNdaGreat,2025-04-16T07:59:17,37
Remember when he said poor kids were just as smart as white kids?,Mysterious_Main_5391,2025-04-16T08:39:07,89
This is what happens when you don't keep the door locked at the memory care unit.,Device_whisperer,2025-04-16T12:49:19,1
Really? I was under the impression that he was against desegregation.,MiloJay99,2025-04-16T16:04:47,1
"He caucused with the last remaining segregationists.   It's truly a feat of modern media that they were able to elect this guy president with the majority of minority voters. Really, BRAVO.",FourtyMichaelMichael,2025-04-16T14:38:51,9
This was my first thought when I seen this.,murderinthedark,2025-04-16T10:40:29,6
It would make the Don's comeback pale in comparison if he pulled it off. 😂,Strange_Chemistry503,2025-04-16T09:53:37,6
My 97 year old grandma straight up called them n-words until she died,GadsdenSnek762,2025-04-16T10:19:48,5
